state,postcode,individuals,taxable_individuals,total_taxable_income,avg_taxable_income,median_taxable_income,rank_australia,rank_state
VIC,3322,110,103,4664087,42401,37208,2571,685
VIC,3323,67,67,2725655,40681,40249,2585,692
VIC,3324,333,330,17780683,53395,44028,2175,574
VIC,3325,284,284,12000980,42257,38446,2573,686
VIC,3328,1417,1403,100298484,70782,60283,913,203
VIC,3329,205,201,14318127,69845,44594,975,220
VIC,3330,130,129,6293748,48413,42176,2427,652
VIC,3331,4465,4431,311912128,69857,58060,973,219
VIC,3332,795,788,49932889,62809,51804,1453,355
VIC,3333,563,552,35788734,63568,51379,1399,337
VIC,3334,355,348,21499928,60563,51715,1617,401
VIC,3335,8293,8170,506912061,61125,55174,1566,386
VIC,3336,14831,14636,988908375,66678,59281,1182,284
VIC,3337,22548,22264,1341961310,59516,52501,1701,426
VIC,3338,23345,22971,1379448418,59090,52762,1737,439
VIC,3340,15630,15472,1095514056,70090,58855,961,215
VIC,3341,1004,993,71795633,71510,56658,876,194
VIC,3342,2321,2300,155758661,67108,57189,1157,272
VIC,3345,845,835,65002032,76925,64387,621,137
VIC,3350,40355,40002,2806305139,69540,54521,991,227
VIC,3351,5635,5575,345403636,61296,50628,1553,381
VIC,3352,11813,11663,798081627,67560,53836,1121,258
VIC,3353,122,119,8356081,68492,41768,1060,247
VIC,3354,123,122,9659331,78531,53320,566,127
VIC,3355,6604,6541,392911959,59496,47906,1702,427
VIC,3356,8280,8197,440416739,53190,48895,2184,578
VIC,3357,2343,2330,169883268,72507,56776,823,181
VIC,3358,3021,2997,194821258,64489,56168,1335,326
VIC,3360,458,453,26376208,57590,53141,1834,462
VIC,3361,347,343,17120868,49340,47611,2392,642
VIC,3363,1917,1892,117132955,61102,49132,1571,387
VIC,3364,1310,1284,72198469,55113,44796,2047,523
VIC,3370,985,971,55561597,56408,44862,1932,489
VIC,3371,526,519,24822035,47190,40731,2476,665
VIC,3373,1370,1342,74920730,54687,45158,2079,536
VIC,3374,266,263,15561602,58502,51511,1778,446
VIC,3375,147,145,6399701,43535,43401,2551,682
VIC,3377,5157,5095,295600326,57320,49021,1852,465
VIC,3378,108,107,8543982,79111,64765,533,118
VIC,3379,416,411,26908478,64684,49786,1318,318
VIC,3380,3791,3742,206979476,54598,45619,2084,538
VIC,3381,810,797,44431381,54854,45730,2064,526
VIC,3384,354,349,16816817,47505,41578,2465,662
VIC,3385,313,308,20574433,65733,39556,1252,298
VIC,3387,188,183,9731154,51761,49844,2272,608
VIC,3388,338,331,25887178,76589,55127,629,140
VIC,3390,527,520,31998861,60719,49245,1599,396
VIC,3391,96,92,6430376,66983,52137,1167,275
VIC,3392,322,314,22758217,70678,42936,923,207
VIC,3393,1481,1466,99875646,67438,50731,1136,265
VIC,3395,251,248,18702288,74511,57421,718,157
VIC,3396,437,431,27147792,62123,44342,1507,367
VIC,3400,8903,8822,539181943,60562,51387,1618,402
VIC,3401,3020,2971,203428352,67360,52629,1147,270
VIC,3402,217,211,14715178,67812,52116,1092,250
VIC,3407,272,269,14154697,52039,42680,2258,605
VIC,3409,648,640,37001282,57101,45363,1873,470
VIC,3412,183,179,12060044,65902,43283,1241,297
VIC,3413,109,108,6207129,56946,48972,1887,475
VIC,3414,950,940,59698186,62840,50812,1447,352
VIC,3418,1668,1628,99363528,59570,51762,1695,423
VIC,3419,580,572,32757662,56479,46514,1929,488
VIC,3420,159,156,11237021,70673,48333,925,208
VIC,3423,196,194,11170225,56991,48296,1884,474
VIC,3424,445,440,28669957,64427,45732,1342,328
VIC,3427,4114,4082,295951884,71938,64070,855,187
VIC,3428,399,396,27787032,69642,53083,984,224
VIC,3429,24451,24270,1747779509,71481,60611,879,195
VIC,3430,189,188,16428391,86923,46703,355,88
VIC,3431,2762,2738,200743140,72680,57109,814,177
VIC,3432,123,120,4764393,38735,45172,2597,695
VIC,3433,129,126,9654434,74841,50336,702,152
VIC,3434,3747,3715,271835527,72548,58875,821,180
VIC,3435,2028,2004,140812002,69434,56258,997,229
VIC,3437,7492,7431,625689178,83514,63866,427,102
VIC,3438,1552,1541,127829310,82364,63693,449,105
VIC,3440,1277,1263,121446021,95103,64042,240,64
VIC,3441,923,909,104317778,113020,69024,114,28
VIC,3442,5187,5124,457035018,88112,60386,335,84
VIC,3444,5959,5882,448012509,75183,52856,689,150
VIC,3446,716,711,43929166,61354,49787,1549,379
VIC,3447,339,332,20440607,60297,46658,1636,409
VIC,3448,593,588,38603921,65099,47556,1294,311
VIC,3450,4105,4060,239334580,58303,44554,1788,448
VIC,3451,3382,3350,212146791,62728,49841,1459,356
VIC,3453,1266,1255,87476135,69096,49603,1019,236
VIC,3458,1439,1417,99526435,69164,48153,1014,234
VIC,3460,1605,1588,98890272,61614,42752,1536,377
VIC,3461,2644,2608,179070044,67727,44883,1105,253
VIC,3462,691,682,37158125,53774,45283,2152,563
VIC,3463,1434,1420,79844613,55680,43356,2005,510
VIC,3464,640,628,33620987,52533,46251,2224,590
VIC,3465,4897,4852,249245527,50898,44112,2329,627
VIC,3467,660,650,33527203,50799,44536,2333,629
VIC,3468,162,161,6655532,41084,32960,2583,691
VIC,3469,155,147,8144038,52542,46018,2223,589
VIC,3472,753,742,34217481,45442,39296,2525,675
